
-- test_adjacency_recursive p#642 i=5
         452253 function calls (445756 primitive calls) in 0.438 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1995    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      452    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      972    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      424    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      510    0.000    0.000    0.015    0.000 re.py:198(search)
     2239    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      258    0.000    0.000    0.000    0.000 enum.py:417(__setattr__)
      342    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
    477/8    0.000    0.000    0.437    0.055 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
        1    0.000    0.000    0.002    0.002 pyplot.py:2138(_setup_pyplot_info_docstrings)
      806    0.000    0.000    0.000    0.000 inspect.py:513(_is_wrapper)
       12    0.000    0.000    0.001    0.000 __init__.py:1852(_define_aliases)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
     1362    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      164    0.000    0.000    0.012    0.000 sre_compile.py:598(_code)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.030    0.030 qt_compat.py:70(_setup_pyqt5)
      347    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
       54    0.000    0.000    0.002    0.000 deprecation.py:333(_delete_parameter)
      407    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
  181/157    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      138    0.000    0.000    0.004    0.000 rcsetup.py:87(f)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      270    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
