u+207d,⁽,super_lparen
u+207e,⁾,super_rparen
u+207f,ⁿ,super_n
u+2192,→,rightarrow
u+2197,↗,uprightarrow
u+2198,↘,downrightarrow
u+2205,∅,emptyset
u+25cc,◌,dotted_circle
u+2c71,ⱱ,v_righthook
u+2c73,ⱳ,w_righthook
u+a712,꜒,left_tone_4
u+a713,꜓,left_tone_3
u+a714,꜔,left_tone_2
u+a715,꜕,left_tone_1
u+a716,꜖,left_tone_0
u+a71b,ꜛ,super_uparrow
u+a71c,ꜜ,super_downarrow
u+a71d,ꜝ,super_excl
u+a71e,ꜞ,super_turned_excl
u+a71f,ꜟ,sub_turned_excl
u+a7f9,ꟹ,super_ethel
u+f1a1,,super_ash_white
u+f1a3,,super_backwards_e_white
u+f1a4,,super_closed_three_white
u+f1ab,,super_o_slash_white
u+f1ae,,super_smallcap_ethel_white
u+f1b4,,super_smallcap_y_white
u+f1b5,,super_rams_horn_white
u+f1bc,,super_h_bar_white
u+f1ce,,super_turned_y_white
u+f1f1,,unknown_f1f1
u+f1f2,,unknown_f1f2
u+f1f3,,unknown_f1f3
u+f1f4,,unknown_f1f4
u+f1f5,,unknown_f1f5
u+f1f6,,unknown_f1f6
u+f1f7,,unknown_f1f7
u+f1f8,,unknown_f1f8
u+f1f9,,unknown_f1f9
