1845;;131;;1709;;b
1263;;399;;767;;b
213;;581;;333;;b
284;;171;;1860;;a
1727;;421;;46;;a
1739;;1222;;689;;a
71;;78;;1342;;b
316;;1950;;1925;;b
1650;;365;;1657;;a
1348;;1644;;1661;;b
156;;1960;;672;;b
1367;;1067;;262;;b
1740;;1215;;85;;a
639;;1525;;1603;;b
1722;;1598;;326;;a
461;;867;;1236;;b
416;;813;;287;;a
1700;;543;;1930;;a
823;;567;;346;;a
249;;72;;904;;b
1602;;1583;;544;;a
174;;318;;236;;a
1728;;1392;;255;;a
152;;1572;;1885;;b
1586;;556;;848;;b
713;;1291;;1635;;a
1550;;1984;;1314;;b
1043;;667;;1168;;b
1828;;1426;;501;;a
1763;;695;;140;;a
913;;1045;;1564;;a
515;;795;;1470;;a
1512;;1337;;1900;;a
275;;163;;1712;;a
931;;1095;;1722;;a
1212;;67;;1908;;a
538;;1236;;423;;a
584;;437;;332;;a
51;;418;;1878;;b
1615;;351;;945;;a
680;;1471;;1547;;a
654;;919;;1264;;a
1052;;390;;1166;;a
574;;984;;820;;b
1617;;338;;294;;a
1844;;1221;;1444;;b
1801;;1706;;943;;a
421;;858;;1996;;a
580;;721;;1949;;a
1979;;1209;;1143;;a
920;;1016;;1097;;a
1832;;1160;;709;;b
296;;740;;1530;;b
518;;410;;863;;a
31;;668;;265;;a
1950;;14;;728;;b
1137;;341;;1593;;b
955;;1800;;197;;b
1112;;1364;;1617;;b
1610;;1534;;985;;a
