         26965268 function calls (26600257 primitive calls) in 56.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.315    0.315 pyplot.py:17(<module>)
   324384    0.245    0.000    0.312    0.000 weakref.py:255(update)
     9072    0.312    0.000    0.312    0.000 _base.py:2267(<listcomp>)
6388/2660    0.007    0.000    0.310    0.000 _base.py:768(get_yaxis_transform)
     9072    0.305    0.000    0.305    0.000 _base.py:2268(<listcomp>)
     9831    0.036    0.000    0.296    0.000 transforms.py:812(unit)
     9943    0.014    0.000    0.287    0.000 transforms.py:828(from_bounds)
    36412    0.062    0.000    0.286    0.000 numeric.py:3069(__exit__)
     5670    0.034    0.000    0.285    0.000 core.py:4480(ravel)
      696    0.008    0.000    0.282    0.000 axis.py:440(_get_gridline)
     7182    0.043    0.000    0.282    0.000 _base.py:215(_xy_from_xy)
     7182    0.008    0.000    0.280    0.000 transforms.py:1569(__eq__)
      696    0.008    0.000    0.278    0.000 axis.py:575(_get_gridline)
    17821    0.181    0.000    0.278    0.000 artist.py:95(__init__)
     7182    0.022    0.000    0.272    0.000 transforms.py:2233(__eq__)
     7290    0.150    0.000    0.268    0.000 collections.py:858(set_sizes)
      120    0.001    0.000    0.268    0.002 ticker.py:1784(__call__)
     9953    0.033    0.000    0.267    0.000 transforms.py:2550(__init__)
      120    0.001    0.000    0.267    0.002 ticker.py:1788(tick_values)
      120    0.011    0.000    0.264    0.002 ticker.py:1733(_raw_ticks)
     3780    0.030    0.000    0.262    0.000 markers.py:368(_set_circle)
     9132    0.084    0.000    0.260    0.000 _base.py:3733(get_children)
     1890    0.100    0.000    0.247    0.000 cbook.py:1806(delete_masked_points)
14405/14384    0.073    0.000    0.247    0.000 transforms.py:1678(__eq__)
    42360    0.038    0.000    0.243    0.000 {method 'any' of 'numpy.ndarray' objects}
    87113    0.116    0.000    0.241    0.000 artist.py:326(pchanged)
     9941    0.017    0.000    0.239    0.000 transforms.py:1927(rotate_deg)
     1000    0.003    0.000    0.237    0.000 ParkingSimulation.py:204(pick_start_segment)
     1000    0.100    0.000    0.229    0.000 ParkingSimulation.py:207(<listcomp>)
    63156    0.065    0.000    0.228    0.000 colors.py:107(_is_nth_color)
    17010    0.120    0.000    0.228    0.000 core.py:2933(_update_from)
    36288    0.032    0.000    0.226    0.000 transforms.py:2049(transform)
     9072    0.048    0.000    0.226    0.000 transforms.py:993(_set_intervaly)
     1020    0.027    0.000    0.224    0.000 text.py:739(draw)
     3471    0.037    0.000    0.223    0.000 font_manager.py:674(__init__)
