memoizing neighbors
got new color (0, 255, 255, 255) at (0, 0)
got new color (0, 0, 0, 255) at (49, 140)
map size 90000 pixels
filling elevation for 18000 steps, plotting every None
step 0
step 1000
step 2000
step 3000
step 4000
step 5000
step 6000
step 7000
step 8000
step 9000
step 10000
step 11000
step 12000
step 13000
step 14000
step 15000
step 16000
step 17000
         1385756690 function calls (1385534453 primitive calls) in 666.268 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      730    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
        8    0.001    0.000    0.002    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1824    0.001    0.000    0.002    0.000 inspect.py:2399(__init__)
    366/8    0.001    0.000    0.384    0.048 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
 1027/410    0.001    0.000    0.002    0.000 transforms.py:134(_invalidate_internal)
 1693/666    0.001    0.000    0.251    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
      730    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:119(release)
      126    0.001    0.000    0.004    0.000 deprecation.py:178(deprecate)
     4662    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
       22    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     8570    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       12    0.001    0.000    0.003    0.000 enum.py:88(__new__)
      120    0.001    0.000    0.002    0.000 cycler.py:349(by_key)
     3223    0.001    0.000    0.009    0.000 {method 'all' of 'numpy.ndarray' objects}
       36    0.001    0.000    0.012    0.000 text.py:694(draw)
    35/31    0.001    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
       56    0.001    0.000    0.006    0.000 lines.py:637(recache)
      258    0.001    0.000    0.002    0.000 font_manager.py:621(__hash__)
       22    0.001    0.000    0.011    0.001 lines.py:721(draw)
  234/146    0.001    0.000    0.004    0.000 transforms.py:2457(get_affine)
     7779    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2358    0.001    0.000    0.004    0.000 colors.py:116(_is_nth_color)
       22    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
  451/199    0.001    0.000    0.019    0.000 sre_parse.py:429(_parse_sub)
     2735    0.001    0.000    0.001    0.000 colors.py:236(<genexpr>)
      940    0.001    0.000    0.002    0.000 __init__.py:1981(_setattr_cm)
     6761    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      432    0.001    0.000    0.002    0.000 copy.py:269(_reconstruct)
     2294    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     3500    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
      775    0.001    0.000    0.003    0.000 abc.py:178(__instancecheck__)
     1868    0.001    0.000    0.003    0.000 re.py:160(match)
        1    0.001    0.001    0.001    0.001 __init__.py:1120(<listcomp>)
      698    0.001    0.000    0.004    0.000 transforms.py:1870(__init__)
      199    0.001    0.000    0.035    0.000 sre_compile.py:531(compile)
      410    0.001    0.000    0.014    0.000 artist.py:1142(get_valid_values)
     3251    0.001    0.000    0.008    0.000 _methods.py:47(_all)
     1170    0.001    0.000    0.003    0.000 transforms.py:1725(__init__)
      253    0.001    0.000    0.003    0.000 transforms.py:757(__init__)
      199    0.001    0.000    0.003    0.000 sre_compile.py:412(_compile_info)
       32    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     6229    0.001    0.000    0.001    0.000 artist.py:728(get_animated)
    298/9    0.001    0.000    0.383    0.043 <frozen importlib._bootstrap_external>:659(exec_module)
      351    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:321(__exit__)
       96    0.001    0.000    0.002    0.000 transforms.py:1965(rotate)
      273    0.001    0.000    0.003    0.000 function_base.py:441(add_newdoc)
       66    0.001    0.000    0.020    0.000 font_manager.py:1162(findfont)
      614    0.001    0.000    0.001    0.000 transforms.py:161(set_children)
      618    0.001    0.000    0.004    0.000 _inspect.py:98(getargspec)
     3493    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
      221    0.001    0.000    0.002    0.000 fromnumeric.py:2277(all)
      333    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:513(spec_from_file_location)
       18    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.001    0.001    0.001    0.001 {method 'decode' of 'ImagingDecoder' objects}
   264/11    0.001    0.000    0.003    0.000 pyparsing.py:1347(_parseNoCache)
      648    0.001    0.000    0.002    0.000 font_manager.py:850(_json_decode)
      525    0.001    0.000    0.001    0.000 contextlib.py:37(__init__)
      692    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(dot)
     2815    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      811    0.001    0.000    0.003    0.000 artist.py:61(_stale_axes_callback)
    179/1    0.001    0.000    0.126    0.126 artist.py:42(draw_wrapper)
      432    0.001    0.000    0.003    0.000 copy.py:67(copy)
      251    0.001    0.000    0.005    0.000 colors.py:241(to_rgba_array)
      298    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:474(_compile_bytecode)
     2327    0.001    0.000    0.001    0.000 {built-in method builtins.min}
   126/34    0.001    0.000    0.002    0.000 abc.py:194(__subclasscheck__)
      199    0.001    0.000    0.020    0.000 sre_parse.py:819(parse)
      364    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
      118    0.001    0.000    0.002    0.000 font_manager.py:575(__init__)
  351/349    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
     1337    0.001    0.000    0.001    0.000 _weakrefset.py:70(__contains__)
   371/39    0.001    0.000    0.279    0.007 {built-in method builtins.__import__}
       34    0.001    0.000    0.033    0.001 axis.py:72(__init__)
     5207    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       31    0.001    0.000    0.001    0.000 {built-in method io.open}
     1984    0.001    0.000    0.001    0.000 sre_parse.py:165(append)
      366    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:163(__enter__)
     1093    0.001    0.000    0.001    0.000 artist.py:310(pchanged)
       39    0.001    0.000    0.004    0.000 __init__.py:1638(param)
     2667    0.001    0.000    0.001    0.000 sre_parse.py:242(match)
     1438    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
     2400    0.001    0.000    0.001    0.000 inspect.py:2709(<genexpr>)
       41    0.001    0.000    0.029    0.001 collections.py:254(draw)
      451    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       16    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
       44    0.001    0.000    0.001    0.000 transforms.py:697(translated)
       12    0.001    0.000    0.001    0.000 artist.py:1125(<listcomp>)
       76    0.001    0.000    0.001    0.000 collections.py:855(set_sizes)
      763    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1064(_path_importer_cache)
      596    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
       12    0.001    0.000    0.004    0.000 artist.py:1114(get_aliases)
      333    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:342(_get_cached)
      333    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1210(_get_spec)
       55    0.001    0.000    0.003    0.000 transforms.py:1056(get_points)
       44    0.001    0.000    0.036    0.001 text.py:892(get_window_extent)
      492    0.001    0.000    0.004    0.000 rcsetup.py:358(validate_color)
      156    0.001    0.000    0.005    0.000 markers.py:294(set_marker)
     1095    0.001    0.000    0.004    0.000 {built-in method builtins.next}
       22    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      298    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.001    0.001    0.001    0.001 {built-in method gc.collect}
      525    0.001    0.000    0.002    0.000 contextlib.py:63(__exit__)
      698    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      261    0.001    0.000    0.004    0.000 sre_compile.py:221(_compile_charset)
     1361    0.001    0.000    0.001    0.000 sre_parse.py:276(tell)
       12    0.001    0.000    0.183    0.015 __init__.py:1(<module>)
      258    0.001    0.000    0.001    0.000 transforms.py:2354(__init__)
     2913    0.001    0.000    0.001    0.000 artist.py:197(axes)
       22    0.001    0.000    0.008    0.000 backend_agg.py:167(draw_text)
      234    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
      381    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
      451    0.001    0.000    0.001    0.000 artist.py:1204(_replace_path)
      130    0.001    0.000    0.002    0.000 transforms.py:2027(scale)
      268    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      407    0.001    0.000    0.001    0.000 sre_compile.py:386(_simple)
        8    0.000    0.000    0.027    0.003 axis.py:1015(_update_ticks)
      141    0.000    0.000    0.006    0.000 transforms.py:1407(transform)
       69    0.000    0.000    0.001    0.000 shape_base.py:597(column_stack)
      560    0.000    0.000    0.000    0.000 functools.py:73(wraps)
       11    0.000    0.000    0.030    0.003 artist.py:1268(pprint_setters)
      139    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      320    0.000    0.000    0.002    0.000 transforms.py:2536(composite_transform_factory)
     1592    0.000    0.000    0.001    0.000 artist.py:1225(is_alias)
       94    0.000    0.000    0.001    0.000 backend_bases.py:733(__init__)
      631    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:406(cached)
      215    0.000    0.000    0.003    0.000 artist.py:1008(set)
       12    0.000    0.000    0.002    0.000 colors.py:370(makeMappingArray)
      945    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
       42    0.000    0.000    0.009    0.000 collections.py:94(__init__)
       96    0.000    0.000    0.002    0.000 transforms.py:1981(rotate_deg)
      132    0.000    0.000    0.000    0.000 deprecation.py:23(_generate_deprecation_message)
      396    0.000    0.000    0.001    0.000 font_manager.py:1191(<genexpr>)
       82    0.000    0.000    0.003    0.000 text.py:131(__init__)
       40    0.000    0.000    0.002    0.000 abc.py:132(__new__)
       73    0.000    0.000    0.008    0.000 artist.py:663(set_clip_path)
      342    0.000    0.000    0.003    0.000 fromnumeric.py:2189(any)
        2    0.000    0.000    0.128    0.064 contour.py:795(__init__)
       78    0.000    0.000    0.001    0.000 core.py:2903(_update_from)
